开盘时间,开盘价,最高价,最低价,收盘价,成交量,收盘时间,成交额,成交笔数,主动买入成交量,主动买入成交额
2024-02-22 16:04:00,51791.10000000,51821.10000000,51791.09000000,51810.94000000,35.13611000,1708589099999,1820366.62293550,1554,13.97749000,724170.54773800
2024-02-22 16:05:00,51810.95000000,51877.10000000,51810.94000000,51870.00000000,38.64714000,1708589159999,2003632.82416580,3245,21.66382000,1123041.42034070
2024-02-22 16:06:00,51870.01000000,51897.40000000,51864.66000000,51894.00000000,59.64853000,1708589219999,3094874.78921620,974,31.86970000,1653486.42568370
2024-02-22 16:07:00,51894.00000000,51937.89000000,51892.86000000,51923.36000000,96.28226000,1708589279999,4998478.93695090,4146,51.55046000,2676345.22349280
2024-02-22 16:08:00,51923.36000000,51929.49000000,51899.22000000,51900.02000000,36.44338000,1708589339999,1891855.73276210,970,8.77066000,455270.52243130
2024-02-22 16:09:00,51900.01000000,51920.00000000,51900.01000000,51915.80000000,36.32765000,1708589399999,1885848.11134770,849,15.59634000,809620.00940900
2024-02-22 16:10:00,51915.80000000,51922.04000000,51894.01000000,51902.00000000,44.67940000,1708589459999,2319153.16469720,1298,16.43190000,852821.24297160
2024-02-22 16:11:00,51902.00000000,51903.80000000,51895.00000000,51895.00000000,32.49665000,1708589519999,1686544.01170730,797,18.29114000,949294.36820710
2024-02-22 16:12:00,51895.01000000,51895.01000000,51852.60000000,51863.61000000,30.50708000,1708589579999,1582437.36198230,2208,10.06352000,521961.29611090
2024-02-22 16:13:00,51863.62000000,51871.10000000,51841.10000000,51841.10000000,45.20203000,1708589639999,2344167.44271410,1620,22.90565000,1187842.37209730
2024-02-22 16:14:00,51841.11000000,51841.11000000,51782.11000000,51782.11000000,29.50836000,1708589699999,1529159.19952480,1258,6.47876000,335749.91769660
2024-02-22 16:15:00,51782.12000000,51807.82000000,51774.50000000,51774.51000000,26.01770000,1708589759999,1347593.92498740,985,14.72010000,762422.48539270
2024-02-22 16:16:00,51774.51000000,51801.10000000,51774.50000000,51801.10000000,11.88863000,1708589819999,615623.54863810,649,8.98114000,465075.14720470
2024-02-22 16:17:00,51801.09000000,51830.56000000,51801.09000000,51811.85000000,21.25571000,1708589879999,1101543.83161760,597,5.71371000,296069.82404360
2024-02-22 16:18:00,51811.85000000,51837.76000000,51811.84000000,51837.76000000,11.72939000,1708589939999,607897.85122620,902,8.07905000,418708.54683810
2024-02-22 16:19:00,51837.76000000,51847.19000000,51811.10000000,51829.82000000,27.07778000,1708589999999,1403431.46850830,2049,13.42957000,696064.60234880
2024-02-22 16:20:00,51829.83000000,51854.78000000,51816.94000000,51824.12000000,54.34966000,1708590059999,2817753.15032460,1972,15.30391000,793332.06674280
2024-02-22 16:21:00,51824.12000000,51839.00000000,51803.02000000,51839.00000000,14.25229000,1708590119999,738664.74416570,1307,10.92641000,566307.96298430
2024-02-22 16:22:00,51838.99000000,51855.13000000,51838.99000000,51855.12000000,64.16612000,1708590179999,3326611.57700660,1460,55.68083000,2886623.66858050
2024-02-22 16:23:00,51855.13000000,51856.41000000,51801.10000000,51804.02000000,29.53073000,1708590239999,1530308.70957090,1468,13.11587000,679552.58569800
