开盘时间,开盘价,最高价,最低价,收盘价,成交量,收盘时间,成交额,成交笔数,主动买入成交量,主动买入成交额
2024-02-22 16:03:00,2987.66000000,2993.87000000,2987.65000000,2993.86000000,763.10300000,1708589039999,2281496.97270700,1125,458.37290000,1370516.52509000
2024-02-22 16:04:00,2993.87000000,3000.00000000,2993.86000000,2999.49000000,2032.16960000,1708589099999,6092637.17263200,3095,1141.70610000,3422602.09462300
2024-02-22 16:05:00,2999.49000000,3005.00000000,2998.78000000,3004.04000000,3938.13780000,1708589159999,11818485.40692300,4811,2842.04680000,8528491.87585200
2024-02-22 16:06:00,3004.03000000,3006.92000000,3002.63000000,3006.91000000,1572.63780000,1708589219999,4726700.83470300,2101,1169.58940000,3515431.64000200
2024-02-22 16:07:00,3006.91000000,3013.00000000,3006.62000000,3009.49000000,2567.21900000,1708589279999,7726903.08246900,4161,1604.38990000,4828822.55548100
2024-02-22 16:08:00,3009.48000000,3009.49000000,3005.67000000,3006.83000000,1139.53510000,1708589339999,3427861.56487700,1234,295.26220000,888034.77077500
2024-02-22 16:09:00,3006.83000000,3009.49000000,3005.80000000,3009.27000000,483.53360000,1708589399999,1454069.33115000,695,294.61940000,885930.08063900
2024-02-22 16:10:00,3009.28000000,3014.86000000,3008.83000000,3013.76000000,1297.41160000,1708589459999,3907614.00123800,2743,761.42410000,2293259.21531900
2024-02-22 16:11:00,3013.77000000,3014.35000000,3012.08000000,3012.98000000,830.52480000,1708589519999,2502900.73118600,943,386.41200000,1164427.51741300
2024-02-22 16:12:00,3012.99000000,3013.73000000,3008.29000000,3013.73000000,861.17270000,1708589579999,2593023.94564500,1530,461.76860000,1390268.31306700
2024-02-22 16:13:00,3013.73000000,3014.33000000,3010.13000000,3011.34000000,1074.42580000,1708589639999,3236774.89583800,1213,411.38620000,1239147.19646400
2024-02-22 16:14:00,3011.34000000,3011.35000000,3004.64000000,3004.95000000,673.60610000,1708589699999,2025911.47758100,1439,221.04110000,664819.69500300
2024-02-22 16:15:00,3004.95000000,3010.55000000,3004.94000000,3005.48000000,1143.91670000,1708589759999,3440852.29858000,1575,512.29270000,1540565.80378800
2024-02-22 16:16:00,3005.48000000,3005.73000000,3002.57000000,3004.64000000,746.91260000,1708589819999,2243872.01121200,1369,260.80320000,783438.94090700
