开盘时间,开盘价,最高价,最低价,收盘价,成交量,收盘时间,成交额,成交笔数,主动买入成交量,主动买入成交额
2024-02-22 16:04:00,1.14100000,1.14220000,1.13900000,1.14100000,27279.00000000,1708589099999,31103.72640000,192,7320.00000000,8351.47570000
2024-02-22 16:05:00,1.14080000,1.14190000,1.14020000,1.14040000,25936.00000000,1708589159999,29593.86700000,210,9156.00000000,10450.25190000
2024-02-22 16:06:00,1.14060000,1.14780000,1.14050000,1.14780000,44534.00000000,1708589219999,50915.11900000,295,34139.00000000,39026.41050000
2024-02-22 16:07:00,1.14790000,1.15340000,1.14780000,1.14990000,125824.00000000,1708589279999,144792.49510000,779,83695.00000000,96324.54410000
2024-02-22 16:08:00,1.14960000,1.16370000,1.14950000,1.16280000,314040.00000000,1708589339999,363615.67920000,1517,243958.00000000,282455.52920000
2024-02-22 16:09:00,1.16280000,1.16460000,1.15770000,1.15920000,198234.00000000,1708589399999,230166.77760000,1114,65296.00000000,75851.12980000
2024-02-22 16:10:00,1.15920000,1.16150000,1.15220000,1.15480000,125337.00000000,1708589459999,144904.40360000,869,56468.00000000,65300.09960000
2024-02-22 16:11:00,1.15470000,1.15660000,1.14560000,1.14700000,88271.00000000,1708589519999,101672.02550000,706,25046.00000000,28855.06640000
2024-02-22 16:12:00,1.14720000,1.15190000,1.14720000,1.14990000,58559.00000000,1708589579999,67295.74140000,546,45309.00000000,52066.48290000
2024-02-22 16:13:00,1.14970000,1.15400000,1.14910000,1.15060000,65690.00000000,1708589639999,75674.26380000,409,47666.00000000,54927.83270000
2024-02-22 16:14:00,1.15080000,1.15140000,1.14890000,1.14890000,66286.00000000,1708589699999,76244.74200000,255,23683.00000000,27247.73950000
2024-02-22 16:15:00,1.14930000,1.15450000,1.14430000,1.14430000,121232.00000000,1708589759999,139135.01000000,766,36197.00000000,41606.89300000
2024-02-22 16:16:00,1.14440000,1.14440000,1.13630000,1.13740000,322365.00000000,1708589819999,367909.43640000,1191,84511.00000000,96371.18740000
2024-02-22 16:17:00,1.13700000,1.13820000,1.13620000,1.13650000,88338.00000000,1708589879999,100437.29570000,288,42768.00000000,48640.82250000
2024-02-22 16:18:00,1.13640000,1.14270000,1.13520000,1.14260000,58937.00000000,1708589939999,67117.22900000,534,34508.00000000,39317.50410000
2024-02-22 16:19:00,1.14220000,1.14300000,1.13680000,1.13740000,43733.00000000,1708589999999,49803.16120000,321,12596.00000000,14356.30280000
2024-02-22 16:20:00,1.13720000,1.14130000,1.13630000,1.13810000,72364.00000000,1708590059999,82382.64150000,507,38645.00000000,44007.10040000
2024-02-22 16:21:00,1.13840000,1.13870000,1.13650000,1.13810000,22726.00000000,1708590119999,25850.34680000,202,11009.00000000,12522.39040000
2024-02-22 16:22:00,1.13800000,1.13920000,1.13420000,1.13840000,51310.00000000,1708590179999,58305.43360000,417,22361.00000000,25415.99390000
2024-02-22 16:23:00,1.13820000,1.13830000,1.13090000,1.13180000,38347.00000000,1708590239999,43479.00120000,431,12964.00000000,14697.51120000
2024-02-22 16:24:00,1.13150000,1.13200000,1.12990000,1.13020000,57094.00000000,1708590299999,64543.46660000,424,17983.00000000,20335.01640000
