开盘时间,开盘价,最高价,最低价,收盘价,成交量,收盘时间,成交额,成交笔数,主动买入成交量,主动买入成交额
2024-02-22 16:04:00,8.33700000,8.33700000,8.31800000,8.32900000,19422.50000000,1708589099999,161734.47130000,484,8641.60000000,71976.36730000
2024-02-22 16:05:00,8.32700000,8.33300000,8.28800000,8.30500000,29332.20000000,1708589159999,243650.86100000,694,7042.10000000,58521.43050000
2024-02-22 16:06:00,8.30300000,8.30300000,8.26000000,8.27800000,59845.00000000,1708589219999,495645.37140000,1388,25446.60000000,210783.99180000
2024-02-22 16:07:00,8.27700000,8.29800000,8.24600000,8.29400000,72623.30000000,1708589279999,600836.43510000,1045,19544.80000000,161882.59870000
2024-02-22 16:08:00,8.29300000,8.32800000,8.28600000,8.31800000,30899.10000000,1708589339999,256766.67960000,677,12825.40000000,106570.87970000
2024-02-22 16:09:00,8.31700000,8.34600000,8.31500000,8.33900000,37314.70000000,1708589399999,311095.96900000,672,20598.50000000,171698.89260000
2024-02-22 16:10:00,8.33900000,8.35700000,8.33900000,8.35600000,21307.70000000,1708589459999,177882.24910000,579,8008.70000000,66859.25380000
2024-02-22 16:11:00,8.35600000,8.36000000,8.34000000,8.35100000,27753.60000000,1708589519999,231812.50690000,609,15298.50000000,127815.21640000
2024-02-22 16:12:00,8.35000000,8.40200000,8.35000000,8.40100000,54672.40000000,1708589579999,457941.12010000,1167,34505.80000000,289036.98450000
2024-02-22 16:13:00,8.40200000,8.42400000,8.32500000,8.33500000,75853.10000000,1708589639999,635336.02990000,1596,24251.00000000,203416.32890000
2024-02-22 16:14:00,8.33700000,8.34200000,8.29200000,8.31000000,72342.00000000,1708589699999,601176.52800000,1116,24111.70000000,200381.76650000
2024-02-22 16:15:00,8.31000000,8.31800000,8.28500000,8.28600000,37647.50000000,1708589759999,312308.39740000,750,16508.30000000,136912.56110000
2024-02-22 16:16:00,8.28700000,8.32000000,8.28500000,8.30800000,19667.00000000,1708589819999,163289.34250000,604,12821.70000000,106453.43530000
2024-02-22 16:17:00,8.30800000,8.36800000,8.30400000,8.35300000,31178.90000000,1708589879999,260214.28370000,860,14204.60000000,118510.54010000
2024-02-22 16:18:00,8.35500000,8.38400000,8.35400000,8.38000000,33965.00000000,1708589939999,284283.59370000,782,16321.60000000,136620.16330000
2024-02-22 16:19:00,8.38200000,8.38200000,8.34000000,8.35700000,40717.00000000,1708589999999,340731.39670000,579,6446.90000000,53879.72200000
2024-02-22 16:20:00,8.35900000,8.38100000,8.35800000,8.37100000,17850.90000000,1708590059999,149429.21190000,517,10097.50000000,84529.46910000
2024-02-22 16:21:00,8.37100000,8.40700000,8.36800000,8.39000000,53565.00000000,1708590119999,449410.86620000,988,31138.90000000,261261.76450000
